Name,Context,Activity
Mitoxantrone,It was so named because it was initially cloned from a multidrug-resistant breast cancer cell line where it was found to confer resistance to chemotherapeutic agents such as mitoxantrone and topotecan.,BCRP_substrate
Mitoxantrone,"Substrates of BCRP initially were reported to be a wide range of chemotherapeutics such as mitoxantrone, camptothecin derivates, flavopiridol, and methotrexate (1).",BCRP_substrate
Topotecan,"In the mammary gland, Bcrp1 has been shown to actively transport drugs (e.g., topotecan and cimetidine)",BCRP_substrate
Topotecan,"even for well-established BCRP substrates such as topotecan, irinotecan, and nitrofurantoin, clinical studies have not revealed statistically significant effects of the�ABCG2�421C>A SNP on PK of these drugs.",BCRP_substrate
Topotecan,This is because topotecan is possibly a good BCRP substrate,BCRP_substrate
Topotecan,It was so named because it was initially cloned from a multidrug-resistant breast cancer cell line where it was found to confer resistance to chemotherapeutic agents such as mitoxantrone and topotecan.,BCRP_substrate
Irinotecan,"even for well-established BCRP substrates such as topotecan, irinotecan, and nitrofurantoin, clinical studies have not revealed statistically significant effects of the�ABCG2�421C>A SNP on PK of these drugs.",BCRP_substrate
Methotrexate,Wild-type breast cancer resistance protein (BCRP/ABCG2) is a methotrexate polyglutamate transporter,BCRP_substrate
Methotrexate,Methotrexate is a substrate of wild-type BCRP only (24).,BCRP_substrate
Methotrexate,"Substrates of BCRP initially were reported to be a wide range of chemotherapeutics such as mitoxantrone, camptothecin derivates, flavopiridol, and methotrexate (1).",BCRP_substrate
AZT,Nucleoside and nucleotide analogs such as AZT and lamivudine are also BCRP substrates (1).,BCRP_substrate
AZT 5′-monophosphate,Nucleoside and nucleotide analogs such as AZT and lamivudine are also BCRP substrates (1).,BCRP_substrate
Lamivudine (3TC),Nucleoside and nucleotide analogs such as AZT and lamivudine are also BCRP substrates (1).,BCRP_substrate
Prazosin,"Substrates which share a common binding site within the BCRP homodimer include�doxorubicin,�prazosin, and daunomycin",BCRP_substrate
Prazosin,"Drugs that have been shown to be BCRP substrates include, among others, prazosin, glyburide, cimetidine, sulfasalazine, and rosuvastatin (1,13).",BCRP_substrate
Flavopiridol,"Notably, several TKIs such as imatinib, gefitinib, and nilotinib are BCRP substrates (1,13).",BCRP_substrate
Imatinib mesylate (STI571),"Burger H, van Tol H, Boersma AW, Brok M, Wiemer EA, Stoter G, et al. Imatinib mesylate (STI571) is a substrate for the breast cancer resistance protein (BCRP)/ABCG2 drug pump.�Blood.�2004;104:2940�2942. doi:�10.1182/blood-2004-",BCRP_substrate
Imatinib mesylate (STI571),"Notably, several TKIs such as imatinib, gefitinib, and nilotinib are BCRP substrates (1,13).",BCRP_substrate
Gefitinib (ZD1839),"Notably, several TKIs such as imatinib, gefitinib, and nilotinib are BCRP substrates (1,13).",BCRP_substrate
Nilotinib,"Notably, several TKIs such as imatinib, gefitinib, and nilotinib are BCRP substrates (1,13).",BCRP_substrate
Glyburide,"Drugs that have been shown to be BCRP substrates include, among others, prazosin, glyburide, cimetidine, sulfasalazine, and rosuvastatin (1,13).",BCRP_substrate
Cimetidine,"In the mammary gland, Bcrp1 has been shown to actively transport drugs (e.g., topotecan and cimetidine)",BCRP_substrate
Cimetidine,"Drugs that have been shown to be BCRP substrates include, among others, prazosin, glyburide, cimetidine, sulfasalazine, and rosuvastatin (1,13).",BCRP_substrate
Sulfasalazine,"Drugs that have been shown to be BCRP substrates include, among others, prazosin, glyburide, cimetidine, sulfasalazine, and rosuvastatin (1,13).",BCRP_substrate
Nitrofurantoin,"even for well-established BCRP substrates such as topotecan, irinotecan, and nitrofurantoin, clinical studies have not revealed statistically significant effects of the�ABCG2�421C>A SNP on PK of these drugs.",BCRP_substrate
Rosuvastatin,"Drugs that have been shown to be BCRP substrates include, among others, prazosin, glyburide, cimetidine, sulfasalazine, and rosuvastatin (1,13).",BCRP_substrate
Doxorubicin,"Substrates which share a common binding site within the BCRP homodimer include�doxorubicin,�prazosin, and daunomycin",BCRP_substrate
Imatinib mesylate,"TKIs such as imatinib, nilotinib, and apatinib (4) and inhibitors for other type kinases such as the serine/threonine Polo-like kinase 1 inhibitor BI2536 (59) are also potent dual P-gp/BCRP inhibitors.",BCRP_inhibitor
Nilotinib,"TKIs such as imatinib, nilotinib, and apatinib (4) and inhibitors for other type kinases such as the serine/threonine Polo-like kinase 1 inhibitor BI2536 (59) are also potent dual P-gp/BCRP inhibitors.",BCRP_inhibitor
Ritonavir,"We were the first to report that the HIV protease inhibitors ritonavir, saquinavir, and nelfinavir are effective BCRP inhibitors (48).",BCRP_inhibitor
Saquinavir,"We were the first to report that the HIV protease inhibitors ritonavir, saquinavir, and nelfinavir are effective BCRP inhibitors (48).",BCRP_inhibitor
Nelfinavir,"We were the first to report that the HIV protease inhibitors ritonavir, saquinavir, and nelfinavir are effective BCRP inhibitors (48).",BCRP_inhibitor
Rosuvastatin,"Among the efflux transporters that could potentially be determinants of rosuvastatin exposure, BCRP, MDR1, or MRP2, BCRP indeed transported rosuvastatin (45).",BCRP_inhibitor
Apatinib,"Taken together, these results suggest that apatinib significantly inhibits ABCB1- and ABCG2-mediated transport in MDR cells.",BCRP_inhibitor
Apatinib,"Furthermore, apatinib significantly inhibited the photolabeling of both ABCB1 and ABCG2 with [125I]-iodoarylazidoprazosin in a concentration-dependent fashion.",BCRP_inhibitor
Apatinib,"In conclusion, apatinib reverses ABCB1- and ABCG2-mediated MDR by inhibiting their transport function",BCRP_inhibitor
Atorvastatin,"This study characterized and compared the transport of atorvastatin, fluvastatin, pitavastatin, pravastatin, rosuvastatin, and simvastatin acid and four atorvastatin metabolites by six ABC transporters (BCRP, MRP2, MRP3, MRP4, MRP8, P-gp).",BCRP_substrate
Fluvastatin,"This study characterized and compared the transport of atorvastatin, fluvastatin, pitavastatin, pravastatin, rosuvastatin, and simvastatin acid and four atorvastatin metabolites by six ABC transporters (BCRP, MRP2, MRP3, MRP4, MRP8, P-gp).",BCRP_substrate
Pitavastatin,"This study characterized and compared the transport of atorvastatin, fluvastatin, pitavastatin, pravastatin, rosuvastatin, and simvastatin acid and four atorvastatin metabolites by six ABC transporters (BCRP, MRP2, MRP3, MRP4, MRP8, P-gp).",BCRP_substrate
Rosuvastatin,"This study characterized and compared the transport of atorvastatin, fluvastatin, pitavastatin, pravastatin, rosuvastatin, and simvastatin acid and four atorvastatin metabolites by six ABC transporters (BCRP, MRP2, MRP3, MRP4, MRP8, P-gp).",BCRP_substrate
Simvastatin acid,"This study characterized and compared the transport of atorvastatin, fluvastatin, pitavastatin, pravastatin, rosuvastatin, and simvastatin acid and four atorvastatin metabolites by six ABC transporters (BCRP, MRP2, MRP3, MRP4, MRP8, P-gp).",BCRP_substrate
Daunomycin,"Substrates which share a common binding site within the BCRP homodimer include�doxorubicin,�prazosin, and daunomycin",BCRP_substrate
